"CO_NCM","Setor","Subsetor","Produto","NCM"
"12119010","DEMAIS PRODUTOS DE ORIGEM VEGETAL","PLANTAS E PARTES PARA INDÚSTRIA, MEDICINA OU PERFUMARIA","PLANTAS PARA MEDICINA OU PERFUMARIA","OREGANO FRESCO OU SECO,P/PERFUMARIA,MEDICINA,ETC."
"12119020","DEMAIS PRODUTOS DE ORIGEM VEGETAL","PLANTAS E PARTES PARA INDÚSTRIA, MEDICINA OU PERFUMARIA","PLANTAS PARA MEDICINA OU PERFUMARIA","COCA (FOLHAS) FRESCA OU SECA,P/PERFUMARIA,MEDICINA,ETC."
"12119030","DEMAIS PRODUTOS DE ORIGEM VEGETAL","PLANTAS E PARTES PARA INDÚSTRIA, MEDICINA OU PERFUMARIA","PLANTAS PARA MEDICINA OU PERFUMARIA","PALHA DE PAPOULA,FRESCA/SECA,P/PERFUMARIA,MEDICINA,ETC."
"12119090","DEMAIS PRODUTOS DE ORIGEM VEGETAL","PLANTAS E PARTES PARA INDÚSTRIA, MEDICINA OU PERFUMARIA","PLANTAS PARA MEDICINA OU PERFUMARIA","OUTRAS PLANTAS E PARTES,P/PERFUMARIA,MEDICINA E SEMELHS"
"12121000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","ALFARROBA INCL.SEMENTES,FRESCAS/REFRIG/CONG/SECAS/EM PO"
"12122000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","ALGAS FRESCAS,REFRIGERADAS,CONGELADAS,SECAS OU EM PO"
"12122100","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","ALGAS PROPRIAS PARA A ALIMENTACAO HUMANA"
"12122900","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTRAS ALGAS,FRESCAS, REFRIGERADAS, CONGELADAS OU SECAS"
"12123000","FRUTAS (INCLUI NOZES E CASTANHAS)","NOZES E CASTANHAS","DEMAIS NOZES E CASTANHAS","CAROCOS E AMENDOAS DE DAMASCOS,PESSEGOS E AMEIXAS"
"12129100","PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS","OUTROS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS","DEMAIS PRODUTOS HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS","BETERRABA SACARINA,FRESCA,REFRIGER.CONGELADA,SECA,EM PO"
"12129200","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","CANA-DE-ACUCAR FRESCA,REFRIGERADA,CONGELADA,SECA,EM PO"
"12129300","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","CANA-DE-ACUCAR, FRESCA,REGRIGERADA,CONGELADA OU SECA"
"12129400","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","RAIZES DE CHICORIA,FRESCA,REFRIGERADA,CONGELADA OU SECA"
"12129900","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODS.VEGETAIS UTIL.PRINCIPALM.NA ALIMENT.HUMANA"
"12129910","DEMAIS PRODUTOS DE ORIGEM VEGETAL","PLANTAS E PARTES PARA INDÚSTRIA, MEDICINA OU PERFUMARIA","PLANTAS PARA MEDICINA OU PERFUMARIA","STEVIA REBAUDIANA"
"12129990","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODS.VEGETAIS UTIL.PRINCIPALM.NA ALIMENT.HUMANA"
"12130000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","OUTROS PRODUTOS DE ORIGEM VEGETAL","PALHAS,CASCAS DE CEREAIS,EM BRUTO,MOIDAS,PRENSADAS,ETC."
"12141000","RAÇÕES PARA ANIMAIS","RAÇÕES PARA ANIMAIS DOMÉSTICOS","OUTRAS RAÇÕES PARA ANIMAIS DOMÉSTICOS","FARINHAS E 'PELLETS',DE ALFAFA (LUZERNA)"
"12149000","RAÇÕES PARA ANIMAIS","RAÇÕES PARA ANIMAIS DOMÉSTICOS","OUTRAS RAÇÕES PARA ANIMAIS DOMÉSTICOS","RUTABAGAS,RAIZES FORRAGEIRAS E OUTROS PRODS.FORRAGEIROS"
"13011000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","GOMAS E RESINAS","GOMA-LACA"
"13012000","DEMAIS PRODUTOS DE ORIGEM VEGETAL","GOMAS, RESINAS E DEMAIS SUCOS E EXTRATOS VEGETAIS","GOMAS E RESINAS","GOMA-ARABICA"
